connect|find|look ? ? device|devices|headset|headsets|earphone|earphones|earbud|earbuds,"<find_bluetooth_devices>",,Bluetooth connecting headset
connect|find|look ? ? bluetooth|wireless device|devices|headset|headsets|earphone|earphones|earbud|earbuds,"<find_bluetooth_devices>",,Bluetooth connecting headset
connect|find|look ? ? headset|headsets|earphone|earphones|earbud|earbuds|device|devices,"<find_bluetooth_devices>",Bluetooth connecting ?,Bluetooth connecting headset
connect|find|look ? ? bluetooth|wireless headset|headsets|earphone|earphones|earbud|earbuds|device|devices,"<find_bluetooth_devices>",Bluetooth connecting ?,Bluetooth connecting headset
connect|find|look ? ? headset|headsets|earphone|earphones|earbud|earbuds|device|devices,"<find_bluetooth_devices>",Bluetooth ?,Bluetooth connecting headset
connect|find|look ? ? bluetooth|wireless headset|headsets|earphone|earphones|earbud|earbuds|device|devices,"<find_bluetooth_devices>",Bluetooth ?,Bluetooth connecting headset
connect|find|look ? ? speaker|speakers|tv|tvs,"<find_bluetooth_speakers>",,Bluetooth connecting speaker
connect|find|look ? ? wireless|bluetooth ? speaker|speakers|tv|tvs,"<find_bluetooth_speakers>",,Bluetooth connecting speaker
connect|find|look ? ? speaker|speakers|tv|tvs,"<find_bluetooth_speakers>",Bluetooth connecting ?,Bluetooth connecting speaker
connect|find|look ? ? wireless|bluetooth ? speaker|speakers|tv|tvs,"<find_bluetooth_speakers>",Bluetooth connecting ?,Bluetooth connecting speaker
connect|find|look ? ? speaker|speakers|tv|tvs,"<find_bluetooth_speakers>",Bluetooth ?,Bluetooth connecting speaker
connect|find|look ? ? wireless|bluetooth ? speaker|speakers|tv|tvs,"<find_bluetooth_speakers>",Bluetooth ?,Bluetooth connecting speaker
connect|find|look ? ? pair|paired|current ? bluetooth|device|devices|headphone|headphones|headset|headsets|earbud|earbuds|earphone|earphones,"<find_paired_devices>",,Bluetooth connecting paired
what bluetooth|device|devices|headphone|headphones|headset|headsets|earbud|earbuds|earphone|earphones ? pair|paired|connected,"<paired_bluetooth_status>",,
connect|find|look ? ? pair|paired|current bluetooth|device|devices|headphone|headphones|headset|headsets|earbud|earbuds|earphone|earphones,"<find_paired_devices>",Bluetooth *,Bluetooth connecting paired
connect|find|look ? ? pair|paired|current bluetooth|wireless bluetooth|device|devices|headphone|headphones|headset|headsets|earbud|earbuds|earphone|earphones,"<find_paired_devices>",Bluetooth *,Bluetooth connecting paired
what ? ? bluetooth|device|devices|headphone|headphones|headset|headsets|earbud|earbuds|earphone|earphones ? pair|paired|connected,"<paired_bluetooth_status>",Bluetooth *,
disconnect ? ? ? device|devices|speaker|speakers|tv|tvs|bluetooth|headset|earphone|earphones|headphone|headphones|earbud|earbuds ? ?,"<disconnect_bluetooth_device>",,Bluetooth disconnect
disconnect ? ? ? device|devices|speaker|speakers|tv|tvs|bluetooth|headset|earphone|earphones|headphone|headphones|earbud|earbuds ? ?,"<disconnect_bluetooth_device>",Bluetooth *,Bluetooth disconnect
? ? turn on ? bluetooth,"<bluetooth_on>",,
? ? turn off ? bluetooth,"<bluetooth_off>",,
? ? turn on ? bluetooth,"<bluetooth_on>",Bluetooth *,
? ? turn off ? bluetooth,"<bluetooth_off>",Bluetooth *,
? ? turn ? bluetooth on,"<bluetooth_on>",,
? ? turn ? bluetooth off,"<bluetooth_off>",,
? ? turn ? bluetooth on,"<bluetooth_on>",Bluetooth *,
? ? turn ? bluetooth off,"<bluetooth_off>",Bluetooth *,
? ? enable ? bluetooth,"<bluetooth_on>",,
? ? disable ? bluetooth,"<bluetooth_off>",,
? ? enable ? bluetooth,"<bluetooth_on>",Bluetooth *,
? ? disable ? bluetooth,"<bluetooth_off>",Bluetooth *,
? ? bluetooth ? ? status,"<bluetooth_status>",,
? ? bluetooth ? ? status,"<bluetooth_status>",Bluetooth *,
? ? is ? bluetooth on|off|enabled|disabled ?,"<bluetooth_status>",,
? ? is ? bluetooth on|off|enabled|disabled ?,"<bluetooth_status>",Bluetooth *,
* no *,"Ok. You can always connect to a device later",Bluetooth connecting speaker,
* one|first|1|yes *,<connect_bluetooth_speaker_1>,Bluetooth connecting speaker,
* two|second|2 *,<connect_bluetooth_speaker_2>,Bluetooth connecting speaker,
* three|third|3 *,<connect_bluetooth_speaker_3>,Bluetooth connecting speaker,
* four|fourth|4 *,<connect_bluetooth_speaker_4>,Bluetooth connecting speaker,
* five|fifth|5 *,<connect_bluetooth_speaker_5>,Bluetooth connecting speaker,
* six|sixth|6 *,<connect_bluetooth_speaker_6>,Bluetooth connecting speaker,
* seven|seventh|7 *,<connect_bluetooth_speaker_7>,Bluetooth connecting speaker,
* eight|eight|8 *,<connect_bluetooth_speaker_8>,Bluetooth connecting speaker,
* nine|ninth|9 *,<connect_bluetooth_speaker_9>,Bluetooth connecting speaker,
